"","Word","Fits.","X","annotations"
"1","abusing",1,NA,1
"2","accosted",1,NA,1
"3","accosted",1,NA,1
"4","acknowledge",0,0,0
"5","acquaintance",0,NA,0
"6","admonished",1,NA,1
"7","adoring",0,NA,0
"8","affectation",1,NA,1
"9","affronted",1,NA,1
"10","aghast",1,0,0
"11","angrier",1,NA,1
"12","animosity",1,1,1
"13","apathy",1,NA,1
"14","appreciative",0,NA,0
"15","apprehensions",1,NA,1
"16","arguing",1,NA,1
"17","aspirations",0,NA,0
"18","assured",0,NA,0
"19","astonished",0,NA,0
"20","atone",0,NA,0
"21","attitudes",0,0,0
"22","avenge",1,NA,1
"23","awakened",0,NA,0
"24","baleful",1,NA,1
"25","bearable",0,NA,0
"26","befall",0,NA,0
"27","begging",0,NA,0
"28","belched",0,NA,0
"29","believe",0,0,0
"30","bewildered",1,NA,1
"31","bitterness",0,NA,0
"32","blinded",0,NA,0
"33","blinding",0,NA,0
"34","blissful",0,NA,0
"35","bloodthirsty",1,NA,1
"36","boldness",0,NA,0
"37","boredom",1,NA,1
"38","bravely",0,NA,0
"39","brutality",1,NA,1
"40","capricious",1,NA,1
"41","careless",1,NA,1
"42","cautious",0,NA,0
"43","chatted",0,NA,0
"44","cheered",0,NA,0
"45","childish",1,NA,1
"46","chuckle",0,NA,0
"47","chuckles",0,NA,0
"48","clever",0,NA,0
"49","comforted",0,NA,0
"50","compassionate",0,NA,0
"51","compliments",0,NA,0
"52","confess",0,NA,0
"53","confessing",0,NA,0
"54","contemplating",0,NA,0
"55","contentedly",0,NA,0
"56","cowardly",1,NA,1
"57","craved",0,NA,0
"58","creaked",0,NA,0
"59","creeps",0,NA,0
"60","cringe",1,NA,1
"61","cruel",1,1,1
"62","culprit",1,1,1
"63","curiosity",0,NA,0
"64","cynical",1,NA,1
"65","dangerous",1,1,1
"66","dared",0,NA,0
"67","dearly",0,NA,0
"68","deathbed",1,NA,1
"69","deceive",1,1,1
"70","deliciously",0,NA,0
"71","delightedly",0,NA,0
"72","deprecating",1,NA,1
"73","deserting",1,NA,1
"74","devious",0,NA,0
"75","disappointing",1,NA,1
"76","disapprove",1,NA,1
"77","discontented",1,1,1
"78","disoriented",1,NA,1
"79","dispel",0,NA,0
"80","distrust",1,NA,1
"81","dreary",1,1,1
"82","drudgery",1,NA,1
"83","drunk",0,NA,0
"84","drunken",0,NA,0
"85","dulled",1,NA,1
"86","eloquently",0,NA,0
"87","enemies",1,NA,1
"88","enticing",0,NA,0
"89","entreaty",0,NA,0
"90","envied",1,NA,1
"91","everybody",0,NA,0
"92","evident",0,NA,0
"93","evil",1,NA,1
"94","excesses",1,NA,1
"95","exclaimed",0,NA,0
"96","expresses",0,NA,0
"97","extravagant",1,NA,1
"98","famished",1,NA,1
"99","fate",0,0,0
"100","fateful",1,NA,1
"101","fearlessly",0,NA,0
"102","felt",0,0,0
"103","fierceness",1,NA,1
"104","fondling",0,NA,0
"105","foolish",1,1,1
"106","forcefully",0,NA,0
"107","forgave",0,NA,0
"108","forgetful",1,NA,1
"109","forgetting",0,NA,0
"110","forgiving",0,NA,0
"111","frankness",0,NA,0
"112","frightful",1,1,1
"113","gasps",0,NA,0
"114","giddy",0,NA,0
"115","gloriously",0,NA,0
"116","grieved",1,NA,1
"117","grieving",1,NA,1
"118","groaning",1,NA,1
"119","groans",1,NA,1
"120","happen",0,NA,0
"121","harm",1,1,1
"122","headache",1,NA,1
"123","heedless",1,NA,1
"124","hesitate",0,NA,0
"125","honesty",0,NA,0
"126","hurtling",0,NA,0
"127","hysterical",1,NA,1
"128","idleness",1,NA,1
"129","imbecile",1,NA,1
"130","impassioned",0,NA,0
"131","imprudent",1,NA,1
"132","incessantly",0,NA,0
"133","incorrigible",1,NA,1
"134","indignation",1,1,1
"135","indignity",1,1,1
"136","indiscretion",1,NA,1
"137","indulgence",0,NA,0
"138","inevitability",1,NA,1
"139","inflicted",1,NA,1
"140","informing",0,NA,0
"141","informs",0,NA,0
"142","ingenuous",0,0,0
"143","insistently",1,NA,1
"144","instincts",0,NA,0
"145","insults",1,NA,1
"146","intentions",0,NA,0
"147","intently",0,NA,0
"148","intimation",0,NA,0
"149","intoxication",1,NA,1
"150","irony",0,NA,0
"151","irrepressible",0,NA,0
"152","irresponsible",1,NA,1
"153","jokingly",0,NA,0
"154","joyfully",0,NA,0
"155","know",0,NA,0
"156","knowing",0,NA,0
"157","levity",1,NA,1
"158","liar",1,NA,1
"159","lingering",0,NA,0
"160","loveliness",0,NA,0
"161","loves",0,NA,0
"162","loyal",0,0,0
"163","lurking",1,NA,1
"164","marvelled",0,NA,0
"165","mattered",0,NA,0
"166","mightily",0,NA,0
"167","mischief",1,1,1
"168","misguided",1,NA,1
"169","mournful",1,1,1
"170","muffled",0,NA,0
"171","nauseous",0,1,0
"172","nervously",1,NA,1
"173","nonchalance",0,NA,0
"174","obedient",0,NA,0
"175","obsessive",1,NA,1
"176","oozing",0,NA,0
"177","oppressed",1,NA,1
"178","ostensibly",0,NA,0
"179","overweight",0,NA,0
"180","overwhelmed",1,NA,1
"181","paled",0,NA,0
"182","passions",0,NA,0
"183","penniless",1,NA,1
"184","perceives",0,NA,0
"185","perceptive",0,NA,0
"186","perish",1,NA,1
"187","perversity",1,NA,1
"188","phony",1,NA,1
"189","pitied",1,NA,1
"190","pitying",1,NA,1
"191","plainly",0,NA,0
"192","portrayal",0,NA,0
"193","pounding",0,NA,0
"194","praises",0,NA,0
"195","pretend",1,NA,1
"196","prompting",0,NA,0
"197","proud",0,0,0
"198","provocation",1,NA,1
"199","provoked",1,NA,1
"200","provoking",1,NA,1
"201","psychotic",1,NA,1
"202","purposeful",0,NA,0
"203","puzzled",1,NA,1
"204","queasy",1,NA,1
"205","quiet",0,NA,0
"206","quietly",0,NA,0
"207","ranting",1,NA,1
"208","rashly",1,NA,1
"209","raving",0,1,0
"210","reactionary",0,NA,0
"211","reassuring",0,NA,0
"212","rebuked",1,NA,1
