"","Word","Fits.","X","annotations"
"1","accepts",0,NA,0
"2","accosted",1,NA,1
"3","acrid",0,0,0
"4","advise",0,NA,0
"5","aggressive",1,1,1
"6","agonized",1,NA,1
"7","alerted",0,NA,0
"8","alluring",0,NA,0
"9","amusing",0,NA,0
"10","antagonism",1,NA,1
"11","anything",0,0,0
"12","approached",0,0,0
"13","ardor",0,NA,0
"14","attacked",1,1,1
"15","awesome",0,NA,0
"16","ballads",0,NA,0
"17","banishment",1,NA,1
"18","bemused",1,NA,1
"19","betraying",1,NA,1
"20","blessing",0,NA,0
"21","blissful",0,NA,0
"22","blister",0,NA,0
"23","blunder",1,NA,1
"24","brash",0,NA,0
"25","brimming",0,NA,0
"26","brotherly",0,NA,0
"27","brushing",0,NA,0
"28","bugger",1,NA,1
"29","burned",0,NA,0
"30","calamities",1,NA,1
"31","calamity",1,1,1
"32","carefree",0,NA,0
"33","chanted",0,NA,0
"34","characteristically",0,NA,0
"35","clambering",0,NA,0
"36","cleverly",0,NA,0
"37","coldly",1,NA,1
"38","complained",1,1,1
"39","conflagration",0,NA,0
"40","congratulated",0,NA,0
"41","congratulations",0,NA,0
"42","consoling",0,NA,0
"43","constantly",0,NA,0
"44","controversial",1,NA,1
"45","crowed",0,NA,0
"46","cruelty",1,NA,1
"47","crusted",0,NA,0
"48","damaging",1,NA,1
"49","darted",0,NA,0
"50","dashing",0,NA,0
"51","daughter",0,NA,0
"52","decency",0,NA,0
"53","decides",0,NA,0
"54","defeat",0,NA,0
"55","delightfully",0,NA,0
"56","demonic",1,NA,1
"57","deplored",1,NA,1
"58","deprivation",1,1,1
"59","derisive",1,NA,1
"60","detain",0,NA,0
"61","difficulties",1,NA,1
"62","disbelieving",1,NA,1
"63","disregarded",1,NA,1
"64","doubt",1,1,1
"65","dreamily",0,NA,0
"66","droning",0,NA,0
"67","drunken",0,NA,0
"68","dubiously",1,NA,1
"69","ducking",0,NA,0
"70","dutiful",0,NA,0
"71","eloquently",0,NA,0
"72","esteem",0,NA,0
"73","esteemed",0,NA,0
"74","explaining",0,NA,0
"75","exquisitely",0,NA,0
"76","exultant",0,NA,0
"77","factly",0,NA,0
"78","faltered",0,NA,0
"79","familiarity",0,NA,0
"80","fancies",0,NA,0
"81","fatigued",1,NA,1
"82","feasts",0,NA,0
"83","filthy",1,NA,1
"84","fires",0,NA,0
"85","flailing",1,NA,1
"86","flattery",0,NA,0
"87","flirt",0,NA,0
"88","folks",0,NA,0
"89","forbade",1,NA,1
"90","forced",1,NA,1
"91","forsake",1,NA,1
"92","fossil",0,0,0
"93","fraudulent",1,NA,1
"94","freud",0,NA,0
"95","friendship",0,NA,0
"96","fuck",1,NA,1
"97","fumbling",0,NA,0
"98","fussing",1,NA,1
"99","giggles",0,NA,0
"100","glistened",0,NA,0
"101","glowering",0,NA,0
"102","goodbye",0,NA,0
"103","grabbed",0,NA,0
"104","grabbing",0,NA,0
"105","gratification",0,NA,0
"106","grim",1,1,1
"107","gullible",1,NA,1
"108","harass",1,1,1
"109","harassment",1,NA,1
"110","harsh",1,1,1
"111","helps",0,NA,0
"112","highly",0,NA,0
"113","hobbling",0,NA,0
"114","honking",0,NA,0
"115","horrible",1,1,1
"116","horribly",1,1,1
"117","humbly",0,NA,0
"118","humility",0,NA,0
"119","hungrily",0,NA,0
"120","ignored",1,NA,1
"121","imperiously",1,NA,1
"122","imprisoned",0,NA,0
"123","inarticulate",1,NA,1
"124","incredible",0,NA,0
"125","indebted",1,1,1
"126","indictment",1,NA,1
"127","inexorably",0,NA,0
"128","informs",0,NA,0
"129","innocence",0,0,0
"130","insidious",1,NA,1
"131","insists",0,NA,0
"132","inspiring",0,NA,0
"133","intensified",0,NA,0
"134","interesting",0,0,0
"135","interfering",1,NA,1
"136","intrigues",1,NA,1
"137","involve",0,NA,0
"138","jabbed",1,NA,1
"139","jokes",0,NA,0
"140","lamenting",1,NA,1
"141","liberally",0,NA,0
"142","looming",0,NA,0
"143","loud",1,NA,1
"144","loudly",1,NA,1
"145","lovable",0,NA,0
"146","lurching",0,NA,0
"147","lurking",1,NA,1
"148","marriage",0,NA,0
"149","marveled",0,NA,0
"150","melodies",0,NA,0
"151","meticulously",1,NA,1
"152","misunderstanding",1,NA,1
"153","moaning",1,NA,1
"154","momentary",0,NA,0
"155","morally",0,NA,0
"156","morn",0,NA,0
"157","morphine",0,NA,0
"158","motivation",0,NA,0
"159","mrs",0,NA,0
"160","muttered",1,NA,1
"161","mysteriously",0,NA,0
"162","necessity",0,NA,0
"163","need",0,0,0
"164","needlessly",1,NA,1
"165","negligence",1,NA,1
"166","negligent",1,NA,1
"167","nerve",0,NA,0
"168","nightmare",1,NA,1
"169","nobly",0,NA,0
"170","nothingness",1,NA,1
"171","noticing",0,NA,0
"172","notions",0,NA,0
"173","obliged",1,1,1
"174","obscenities",1,NA,1
"175","observance",0,NA,0
"176","observe",0,NA,0
"177","offender",1,NA,1
"178","oppressed",1,NA,1
"179","optimistic",0,NA,0
"180","outspoken",0,NA,0
"181","overhear",0,NA,0
"182","overjoyed",0,NA,0
"183","overshadowed",0,NA,0
"184","paralyzed",0,NA,0
"185","pardoned",0,NA,0
"186","peeled",0,NA,0
"187","perfunctory",1,NA,1
"188","pernicious",1,NA,1
"189","persuade",0,NA,0
"190","persuading",0,NA,0
"191","persuasion",0,NA,0
"192","pervert",1,NA,1
"193","phoning",0,NA,0
"194","piety",0,NA,0
"195","pissed",1,NA,1
"196","pitiless",1,1,1
"197","ploy",0,NA,0
"198","poignant",1,NA,1
"199","poisonous",0,1,0
"200","prayed",0,NA,0
"201","premonition",0,NA,0
"202","pretence",1,NA,1
"203","preventing",0,NA,0
"204","profane",1,NA,1
"205","protest",1,NA,1
"206","protesting",1,NA,1
"207","provoke",1,1,1
"208","psychic",0,NA,0
"209","psychological",0,NA,0
"210","punishments",1,NA,1
"211","qualms",1,NA,1
