"Word","Fits.","X","annotations"
"aback",0,NA,0
"abandon",1,"1",1
"abandoning",1,NA,1
"abandonment",1,NA,1
"abase",1,"0",0
"abash",1,"0",0
"abashed",1,"0",0
"abashes",1,"0",0
"abashment",1,"0",0
"abate",0,"0",0
"abated",0,NA,0
"abatement",0,"0",0
"abducted",1,NA,1
"abet",1,"0",0
"abettor",1,"0",0
"abhor",1,"1",1
"abhorred",1,NA,1
"abhorrence",1,"1",1
"abhorrent",1,"1",1
"abiding",0,NA,0
"abject",1,"1",1
"abominable",1,"1",1
"abominate",1,"1",1
"abomination",1,"1",1
"absence",1,"1",1
"absurd",1,"1",1
"absurdity",1,NA,1
"abuse",1,"1",1
"abused",1,NA,1
"abuses",1,NA,1
"abusing",1,"1",1
"abusive",1,"1",1
"abysmal",1,"1",1
"accept",0,"0",0
"acceptable",0,"0",0
"accidentally",1,NA,1
"accomplice",1,NA,1
"accordance",0,"0",0
"accosted",1,"0",0
"accusation",1,NA,1
"accusations",1,NA,1
"accuse",1,NA,1
"accusing",1,NA,1
"accusingly",1,NA,1
"accustomed",0,NA,0
"acerb",1,"0",0
"acerbic",1,"0",0
"ache",1,"1",1
"ached",1,NA,1
"aches",1,NA,1
"aching",1,NA,1
"acid",1,"0",0
"acknowledge",0,"0",0
"acknowledging",0,NA,0
"acknowledged",0,"0",0
"acquaintance",0,"0",0
"acquaintances",0,NA,0
"acquiesced",0,NA,0
"acquiescence",0,NA,0
"acrid",0,"0",0
"acrimonious",1,"0",0
"action",0,"0",0
"actuality",0,NA,0
"actually",0,NA,0
"actuate",0,"0",0
"adamant",1,NA,1
"addicted",1,NA,1
"admiration",0,NA,0
"admire",0,NA,0
"admired",0,NA,0
"admirer",0,NA,0
"admirers",0,NA,0
"admires",0,NA,0
"admiring",0,NA,0
"admiringly",0,NA,0
"admit",0,"0",0
"admits",0,"0",0
"admitting",0,NA,0
"admonished",1,"1",1
"admonition",1,NA,1
"ado",0,"0",0
"adorable",0,NA,0
"adore",0,NA,0
"adored",0,NA,0
"adores",0,NA,0
"adoring",0,"0",0
"adultery",1,NA,1
"adverse",1,"1",1
"adversaries",1,NA,1
"adversity",1,NA,1
"advocate",0,"0",0
"affable",0,NA,0
"affair",0,NA,0
"affectation",1,"0",0
"affect",0,"0",0
"affection",0,"0",0
"affectionate",0,NA,0
"affections",0,NA,0
"afflict",1,"1",1
"afflicted",1,"1",1
"affliction",1,"1",1
"affright",0,"0",0
"affront",1,"0",0
"affronted",1,"1",1
"afraid",1,"1",1
"afterthought",0,NA,0
"afterward",0,NA,0
"aged",0,"0",0
"aggravate",1,"1",1
"aggravated",1,NA,1
"aggression",1,"1",1
"aggressive",1,"1",1
"aggrieves",1,"1",1
"aggrieved",1,NA,1
"aghast",1,"0",0
"agitate",1,"1",1
"agitated",1,"1",1
"agitation",1,"1",1
"agonies",1,NA,1
"agonized",1,"1",1
"agonizing",1,"1",1
"agony",1,"1",1
"agreeable",0,NA,0
"ah",0,"0",0
"ailing",1,NA,1
"aimless",1,NA,1
"aimlessly",1,NA,1
"akin",0,"0",0
"alarm",1,"1",1
"alarmclock",0,"1",0
"alarmer",0,"1",0
"alarming",1,"1",1
"alarmingly",1,"1",1
"alas",1,"0",0
"alert",0,"0",0
"alienated",1,NA,1
"alienation",1,NA,1
"alive",0,"0",0
"alone",0,"1",0
"aloneness",0,"1",0
"altogether",0,"0",0
"ambiguous",1,"0",0
"ambitious",0,"0",0
"anger",1,"1",1
