"Word","Fits.","X","annotations"
"abandon",0,"0",0
"abet",0,"0",0
"abide",0,"1",0
"ability",0,"1",0
"ablaze",0,"0",0
"absent",0,"0",0
"absurd",0,"0",0
"accept",1,"1",1
"acceptable",1,"1",1
"accessible",1,"1",1
"acclaim",1,"1",1
"acclamation",1,"1",1
"accolade",1,"1",1
"accommodate",0,"1",0
"accommodating",0,"1",0
"accompanied",0,"1",0
"accord",1,"1",1
"accumulated",0,"1",0
"accurate",0,"1",0
"achieve",1,"1",1
"achieved",1,"1",1
"achieving",1,"1",1
"acknowledge",1,"1",1
"acknowledged",1,"1",1
"acknowledgement",1,"1",1
"acquire",0,"1",0
"acrid",0,"0",0
"act",0,"1",0
"action",0,"1",0
"active",0,"1",0
"activity",0,"1",0
"actuate",0,"1",0
"acute",0,"1",0
"adapt",0,"1",0
"addiction",0,"0",0
"addressed",0,"1",0
"adds",0,"1",0
"adequate",0,"1",0
"adhere",0,"1",0
"adherence",0,"1",0
"adjudicate",0,"1",0
"administration",0,"0",0
"admire",1,"1",1
"admired",1,"1",1
"admires",1,"1",1
"admission",0,"1",0
"admit",0,"1",0
"admits",0,"1",0
"adopt",0,"1",0
"adore",1,"1",1
"adroit",1,"0",0
"advantage",1,"1",1
"advice",0,"1",0
"advised",0,"1",0
"advocacy",1,"1",1
"advocated",1,"1",1
"affable",1,"0",0
"affair",0,"0",0
"affect",1,"1",1
"affected",0,"1",0
"affecting",0,"1",0
"affection",1,"1",1
"affectionate",1,"1",1
"affix",0,"0",0
"afford",0,"1",0
"afraid",0,"0",0
"agency",0,"1",0
"aggressive",0,"0",0
"agile",0,"1",0
"agitate",0,"1",0
"agitation",0,"1",0
"agog",0,"0",0
"agree",1,"1",1
"agreeable",1,"1",1
"agreeably",1,"1",1
"agreed",1,"1",1
"agreement",1,"1",1
"agrees",1,"1",1
"aid",1,"1",1
"aiming",0,"1",0
"alacrity",0,"0",0
"albeit",0,"0",0
"alert",0,"1",0
"alive",0,"1",0
"alleviate",1,"1",1
"alleviation",1,"1",1
"allow",1,"1",1
"alter",0,"0",0
"amateur",0,"0",0
"amatory",0,"1",0
"amaze",1,"1",1
"amazement",1,"1",1
"amazing",1,"1",1
"ambitious",0,"1",0
"amiable",1,"1",1
"amuse",1,"1",1
"amusement",1,"1",1
"amusing",1,"1",1
"analyze",0,"1",0
"analyzed",0,"1",0
"anger",0,"0",0
"animated",0,"1",0
"animation",0,"1",0
"answer",0,"0",0
"answered",0,"0",0
"anticipated",0,"1",0
"apocryphal",0,"0",0
"appealing",1,"1",1
"appease",1,"1",1
"appeasement",1,"1",1
"appeases",1,"1",1
"appeasing",1,"1",1
"appetite",0,"1",0
"applause",1,"1",1
"apply",0,"0",0
"appraise",1,"1",1
"appreciate",1,"1",1
"appreciative",1,"1",1
"approached",0,"0",0
"appropriate",0,"1",0
"approve",1,"1",1
"approximate",0,"0",0
"archaic",0,"0",0
"ardent",0,"1",0
"ardor",1,"1",1
"ardour",1,"1",1
"arise",0,"1",0
"arousal",0,"1",0
"arouse",0,"1",0
"arrive",0,"0",0
"arrogant",0,"0",0
"artistic",0,"1",0
"ascribed",0,"0",0
"ask (request)",0,"0",0
"asked",0,"0",0
"aspartame",0,"0",0
"asperity",0,"0",0
"assert",0,"1",0
"asserted",0,"1",0
"assign",0,"0",0
"assist",1,"1",1
"assistance",1,"1",1
"assistant",1,"1",1
"assuage",1,"0",0
"assume",0,"0",0
"assumes",0,"0",0
"assurance",1,"1",1
"assured",1,"1",1
"assuredly",1,"1",1
"astonish",1,"1",1
"astonishing",1,"1",1
"astonishingly",1,"1",1
"astonishment",1,"1",1
"astound",1,"1",1
"attach",0,"0",0
"attachment",0,"0",0
"attain",1,"0",0
"attained",1,"0",0
"attend",0,"0",0
"attention",0,"0",0
"attract",0,"1",0
"attractive",0,"1",0
"audacity",1,"1",1
"auspiciousness",1,"1",1
"authentic",0,"1",0
"autobiography",0,"0",0
"auxiliary",1,"0",0
"avid",1,"0",0
"avoid",0,"0",0
"avoided",0,"0",0
"avowal",1,"0",0
"await",0,"0",0
"awaken",0,"1",0
"aware",0,"1",0
"awareness",0,"1",0
"backing",1,"1",1
"bad",0,"0",0
"bail",0,"0",0
"be",0,"0",0
"be glad",1,"0",0
"beat",0,"0",0
"beaten",0,"0",0
"beautiful",1,"1",1
"beguile",0,"0",0
"beguiling",0,"0",0
"behalf",0,"0",0
"believe",1,"1",1
"believes",1,"1",1
"belong",0,"1",0
"belonging",0,"1",0
"beloved",1,"1",1
"beneficial",1,"1",1
"benefit",1,"1",1
"benign",1,"1",1
"bias",0,"0",0
"bind",0,"0",0
"bitter",0,"0",0
"bizarre",0,"0",0
"blamed",0,"1",0
"blessing",1,"1",1
"bliss",1,"1",1
"blissful",1,"1",1
"blissfully",1,"1",1
"blithe",1,"0",0
"blithesome",1,"0",0
"blithesomeness",1,"0",0
"boast",0,"1",0
"bond",0,"1",0
"bonny",1,"0",0
"boon",1,"0",0
"break",0,"0",0
"breezy",0,"1",0
"bright",1,"1",1
"bring",0,"0",0
"brisk",1,"1",1
"buoyant",1,"1",1
"business",0,"0",0
"busy",0,"0",0
"calm",1,"1",1
"calmed",1,"1",1
"calmly",1,"1",1
"calmness",1,"1",1
"calms",1,"1",1
"cancelled",0,"0",0
"care",1,"1",1
"careful",1,"1",1
"caressing",1,"1",1
"carousel",0,"1",0
"carries",0,"0",0
"casual",0,"1",0
"cause",0,"0",0
"caustic",0,"0",0
"celebrate",1,"1",1
"centralized",0,"0",0
"certain",0,"0",0
"certainly",0,"0",0
"certainty",0,"0",0
"challenged",0,"0",0
"challenging",1,"0",0
"chance",0,"1",0
"chancellor",0,"0",0
"characterize",0,"0",0
"charm",1,"1",1
"charming",1,"1",1
"cheer",1,"1",1
"cheerful",1,"1",1
"cheerfulness",1,"1",1
"cheering",1,"1",1
"cheerless",0,"0",0
"cheery",1,"1",1
"chesty",0,"0",0
"chipper",1,"1",1
"chirpy",1,"1",1
"choose",0,"0",0
"chooses",0,"0",0
"clever",1,"1",1
"cocksure",0,"0",0
"collateral",0,"0",0
"comedian",0,"1",0
"comely",1,"1",1
"comfort",1,"1",1
"comfortable",1,"1",1
"comfortably",1,"1",1
"comfy",1,"1",1
"comic",0,"1",0
"comical",0,"1",0
"commander",0,"0",0
"commit",0,"0",0
"common",0,"0",0
"commonplace",0,"0",0
"commotion",0,"0",0
"compelled",0,"0",0
"compensation",0,"0",0
"compete",0,"0",0
"complacency",0,"0",0
"complained",0,"0",0
"complicated",0,"0",0
"composed",0,"0",0
"comprehend",0,"0",0
"comprehension",1,"0",0
"conceited",0,"0",0
"concern",0,"0",0
"concerned",0,"0",0
"conclude",0,"0",0
"condemned",0,"0",0
"confident",1,"1",1
"confirm",1,"1",1
"conform",0,"0",0
